area,object,entry_type,condition,behavior,addresses_or_values,test_split,source_refs
Table,RSDP,feature,ACPI 2.0 root pointer,points to RSDT and XSDT and includes ACPI 1.0 and extended checksums,revision 2; OEM QEMU,checksum validation,roms/ia64-firmware/firmware.c:7044
Table,RSDT,feature,root table initialized,"contains FADT, MADT, SRAT, SLIT, HCDP, MCFG, SSDT 32-bit pointers and DBGP when -debug-port is configured",7 entries by default; 8 with DBGP,table pointer order and checksum,roms/ia64-firmware/firmware.c:7044
Table,XSDT,feature,root table initialized,"contains FADT, MADT, SRAT, SLIT, HCDP, MCFG, SSDT pointers and DBGP when -debug-port is configured",7 entries by default; 8 with DBGP,table pointer order and checksum,roms/ia64-firmware/firmware.c:7044
Table,FADT/FACP,feature,fixed ACPI description table,"publishes IA-64 profile, SCI IRQ, FACS/DSDT pointers, fixed feature flags, and System I/O GAS PM blocks",SCI 9; PM ports 0x2000/0x2004/0x2008; WBINVD/SLP_BUTTON/TMR_VAL_EXT/SW_CPU_SLP flags; fixed power button event enabled,X fields and fixed feature flags,roms/ia64-firmware/firmware.c:7170
Table,FACS,feature,firmware ACPI control structure,minimal FACS with zero wake vectors/global lock/flags,version 1,FACS signature/checksum fields,roms/ia64-firmware/firmware.c:7044
Table,DSDT,feature,AML namespace for PCI root and shutdown,"defines _S5 plus _SB.PCI0 with PNP0A08/PNP0A03 IDs, _SEG, _BBN, _UID, _CCA, _CRS, _PRT and fixed PCI INTx IOSAPIC GSI routes",revision 2; S5 SLP_TYP 0; I/O translation window; identity PCI MMIO 0xc1000000-0xd0ffffff; PCI INTx GSIs 16-19,AML object presence resource windows _S5 and _PRT GSI mapping,roms/ia64-firmware/firmware.c:7044
Table,SSDT,feature,AML namespace for serial console,defines \_SB.UAR0 as PNP0501 with _UID and _CRS QWordMemory/IRQ resources,UART MMIO 0x47f0000000 length 8; IRQ4,PNP0501 HID and fixed MMIO/IRQ resource descriptors,roms/ia64-firmware/firmware.c:1338
Table,MADT/APIC,feature,interrupt controller table,publishes one Local SAPIC and one I/O SAPIC entry,Local SAPIC type 7; I/O SAPIC type 6,enabled LSAPIC and IOSAPIC GSI base,roms/ia64-firmware/firmware.c:7044
Table,MCFG,feature,PCI ECAM table,publishes PCI segment 0 buses 0..255 at ECAM base,segment 0; bus 0-255,ECAM base and bus range,roms/ia64-firmware/firmware.c:7044
Table,SRAT,feature,NUMA affinity table,publishes one memory affinity and one processor affinity for proximity domain 0,enabled entries,memory extent and CPU affinity,roms/ia64-firmware/firmware.c:7044
Table,SLIT,feature,NUMA distance table,publishes one locality distance matrix,distance 10,single locality matrix,roms/ia64-firmware/firmware.c:7044
Table,HCDP,feature,console table,publishes UART and VGA console descriptors with selectable primary console,2 entries; VGA PCI 0:4.0 primary by default; UART 115200 8n1 IRQ4 primary when firmware-console=serial; I/O-port translation only,entry count plus UART/VGA descriptor flags and PCI translation fields,roms/ia64-firmware/firmware.c:7044
Table,DBGP,feature,debug port table,publishes a full 16550 ACPI debug port when -debug-port is configured,MMIO 0x47f0001000 length 8; InterfaceType 0; SystemMemory GAS,DBGP root-table presence checksum and GAS fields,roms/ia64-firmware/firmware.c:1319
