function_id,name,entry_type,condition,args,behavior,returns,test_split,source_refs
0x0001,PAL_CACHE_FLUSH,function,cache_type 1..4 and operation low bits only,gr28 selects function; gr29..gr31 carry PAL arguments,success; invalid cache type or operation bits returns PAL_STATUS_INVALID_ARGUMENT,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0002,PAL_CACHE_INFO,function,level 0..2; type 1 data or 2 unified; nonzero levels require unified,gr28 selects function; gr29..gr31 carry PAL arguments,returns cache geometry; invalid level/type returns invalid argument,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0003,PAL_CACHE_INIT,function,level UINT64_MAX or level<3; type 1..3; restrict_side_effects 0..1,gr28 selects function; gr29..gr31 carry PAL arguments,success for accepted levels; invalid args return invalid argument,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0004,PAL_CACHE_SUMMARY,function,reserved args zero,gr28 selects function; gr29..gr31 carry PAL arguments,returns implemented cache levels and cache type summary,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0005,PAL_MEM_ATTRIB,function,reserved args zero,gr28 selects function; gr29..gr31 carry PAL arguments,returns WB and UC memory attribute bits,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0006,PAL_PTCE_INFO,function,reserved args zero,gr28 selects function; gr29..gr31 carry PAL arguments,returns PTCE base/count/stride fields,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0007,PAL_VM_INFO,function,level/type constraints match PAL_CACHE_INFO,gr28 selects function; gr29..gr31 carry PAL arguments,returns TLB geometry and supported page mask,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0008,PAL_VM_SUMMARY,function,reserved args zero,gr28 selects function; gr29..gr31 carry PAL arguments,returns implemented VA/RID/translation summary,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0009,PAL_BUS_GET_FEATURES,function,reserved args zero,gr28 selects function; gr29..gr31 carry PAL arguments,returns implemented/controllable bus feature masks,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x000a,PAL_BUS_SET_FEATURES,function,gr30 and gr31 zero,gr28 selects function; gr29..gr31 carry PAL arguments,accepts and ignores feature bit selection,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x000b,PAL_DEBUG_INFO,function,reserved args zero,gr28 selects function; gr29..gr31 carry PAL arguments,returns no debug resource information,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x000c,PAL_FIXED_ADDR,function,reserved args zero,gr28 selects function; gr29..gr31 carry PAL arguments,returns fixed-address feature information,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x000d,PAL_FREQ_BASE,function,reserved args zero,gr28 selects function; gr29..gr31 carry PAL arguments,returns platform base frequency information,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x000e,PAL_FREQ_RATIOS,function,reserved args zero,gr28 selects function; gr29..gr31 carry PAL arguments,returns processor/bus/ITC ratio information,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x000f,PAL_PERF_MON_INFO,function,8-byte aligned nonzero buffer; gr30/gr31 zero,gr28 selects function; gr29..gr31 carry PAL arguments,writes zeroed performance monitor info block,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0010,PAL_PLATFORM_ADDR,function,block type 0 interrupt or 1 IO; gr31 zero,gr28 selects function; gr29..gr31 carry PAL arguments,validates requested platform block address/alignment and returns success or error,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
0x0011,PAL_PROC_GET_FEATURES,function,reserved args zero,gr28 selects function; gr29..gr31 carry PAL arguments,returns implemented and controllable processor feature masks,gr8 status; gr9..gr11 result values as implemented,nominal success plus condition-specific invalid/error rows where listed,target/ia64/op_helper.c:256; target/ia64/op_helper.c:2162
