function_id,name,entry_type,condition,args,behavior,returns,test_split,source_refs
0x01000000,SAL_SET_VECTORS,function,vector type MCA/INIT/BOOT_RENDEZ; 16-byte aligned handlers; checksum length rules,SAL procedure arguments Arg0..Arg7,stores SAL vector descriptors,SAL_RETURN_REGS Status plus r9..r11 values,nominal path plus listed special cases,roms/ia64-firmware/firmware.c:1684; roms/ia64-firmware/firmware.c:2498
0x01000001,SAL_GET_STATE_INFO,function,state type MCA/INIT/CMC/CPE/DECONFIG; reserved zero,SAL procedure arguments Arg0..Arg7,returns no information for valid type,SAL_RETURN_REGS Status plus r9..r11 values,nominal path plus listed special cases,roms/ia64-firmware/firmware.c:1684; roms/ia64-firmware/firmware.c:2498
0x01000002,SAL_GET_STATE_INFO_SIZE,function,state type valid; reserved zero,SAL procedure arguments Arg0..Arg7,returns zero size for valid type,SAL_RETURN_REGS Status plus r9..r11 values,nominal path plus listed special cases,roms/ia64-firmware/firmware.c:1684; roms/ia64-firmware/firmware.c:2498
0x01000003,SAL_CLEAR_STATE_INFO,function,state type valid; reserved zero,SAL procedure arguments Arg0..Arg7,successfully clears synthetic state,SAL_RETURN_REGS Status plus r9..r11 values,nominal path plus listed special cases,roms/ia64-firmware/firmware.c:1684; roms/ia64-firmware/firmware.c:2498
0x01000004,SAL_MC_RENDEZ,function,all args zero,SAL procedure arguments Arg0..Arg7,success; nonzero args return SAL_STATUS_ERROR,SAL_RETURN_REGS Status plus r9..r11 values,nominal path plus listed special cases,roms/ia64-firmware/firmware.c:1684; roms/ia64-firmware/firmware.c:2498
0x01000005,SAL_MC_SET_PARAMS,function,param type rendez interrupt/wakeup/CPE with mechanism-specific validation,SAL procedure arguments Arg0..Arg7,records machine-check parameter record,SAL_RETURN_REGS Status plus r9..r11 values,nominal path plus listed special cases,roms/ia64-firmware/firmware.c:1684; roms/ia64-firmware/firmware.c:2498
0x01000006,SAL_REGISTER_PHYSICAL_ADDR,function,entity PAL_PROC; reserved zero,SAL procedure arguments Arg0..Arg7,records physical PAL proc address,SAL_RETURN_REGS Status plus r9..r11 values,nominal path plus listed special cases,roms/ia64-firmware/firmware.c:1684; roms/ia64-firmware/firmware.c:2498
0x01000008,SAL_CACHE_FLUSH,function,IorD 1..4; reserved zero,SAL procedure arguments Arg0..Arg7,successfully acknowledges cache flush,SAL_RETURN_REGS Status plus r9..r11 values,nominal path plus listed special cases,roms/ia64-firmware/firmware.c:1684; roms/ia64-firmware/firmware.c:2498
0x01000009,SAL_CACHE_INIT,function,reserved args zero,SAL procedure arguments Arg0..Arg7,successfully acknowledges cache init,SAL_RETURN_REGS Status plus r9..r11 values,nominal path plus listed special cases,roms/ia64-firmware/firmware.c:1684; roms/ia64-firmware/firmware.c:2498
0x01000010,SAL_PCI_CONFIG_READ,function,compact or extended PCI config address; size 1/2/4 and aligned,SAL procedure arguments Arg0..Arg7,returns config value or all ones for nonexistent function,SAL_RETURN_REGS Status plus r9..r11 values,nominal path plus listed special cases,roms/ia64-firmware/firmware.c:1684; roms/ia64-firmware/firmware.c:2498
0x01000011,SAL_PCI_CONFIG_WRITE,function,compact or extended PCI config address; size 1/2/4 and aligned,SAL procedure arguments Arg0..Arg7,writes config value or ignores nonexistent function,SAL_RETURN_REGS Status plus r9..r11 values,nominal path plus listed special cases,roms/ia64-firmware/firmware.c:1684; roms/ia64-firmware/firmware.c:2498
0x01000012,SAL_FREQ_BASE,function,clock type 0..2; reserved zero,SAL procedure arguments Arg0..Arg7,platform clock returns 100000000; optional clocks return -1 values,SAL_RETURN_REGS Status plus r9..r11 values,nominal path plus listed special cases,roms/ia64-firmware/firmware.c:1684; roms/ia64-firmware/firmware.c:2498
0x01000013,SAL_PHYSICAL_ID_INFO,function,reserved zero,SAL procedure arguments Arg0..Arg7,returns zeroed physical ID info,SAL_RETURN_REGS Status plus r9..r11 values,nominal path plus listed special cases,roms/ia64-firmware/firmware.c:1684; roms/ia64-firmware/firmware.c:2498
0x01000020,SAL_UPDATE_PAL,function,parameter buffer nonzero 16-byte aligned; scratch args consistent; reserved zero,SAL procedure arguments Arg0..Arg7,valid request returns write-failure error,SAL_RETURN_REGS Status plus r9..r11 values,nominal path plus listed special cases,roms/ia64-firmware/firmware.c:1684; roms/ia64-firmware/firmware.c:2498
runtime,SAL runtime entry,special_case,caller is not CPL0 or runtime translation state is inconsistent,PSR CPL/DT/RT/IT,returns SAL_STATUS_ERROR before function dispatch,SAL_STATUS_ERROR,CPL0 runtime-valid vs invalid runtime state,roms/ia64-firmware/firmware.c:2498
default,SAL_UNKNOWN,special_case,function id is not implemented,Index low 32 bits,returns SAL_STATUS_NOT_IMPLEMENTED,SAL_STATUS_NOT_IMPLEMENTED,unknown function id,roms/ia64-firmware/firmware.c:2498
